古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
云南的昆明又叫什么	昆明又叫做什么昆明简介昆明市是云南省省会,全省的政治、经济、文化中心,也是全国历史文化名城之
以潘冬子为主角的是哪一部中国儿童红色经典电影	《闪闪的红星》
春秋时一对著名的铸剑师夫妻，一个叫干将，另一个叫什么	莫邪
南非是世界上唯一同时有三个首都的国家，请问南非的的立法首都也是南非第二大城市的是	而南非也是世界上唯一同时存在三个首都的国家
2011年由宫晓东指导的《穆桂英挂帅》中，穆桂英的饰演者是哪位内地著名女演员	苗圃v 的饰演
《西游记》中，沙和尚的法号叫什么	沙僧:法名悟净,人称沙和尚,原是天宫玉帝的卷帘大将,因打破了琉璃盏,触犯天条,被贬出天界,在人间流沙河兴风作浪
新疆唯一一个以石油命名的是哪个城市	克拉玛依
哪条山脉位于尼泊尔和我国的交界处	喜马拉雅山脉位于青藏高原南巅边缘,是世界海拔最高的山脉,其中有110多座山峰高达或超过海拔7350米
阿拉斯加州的海岸线长度是多少	美国 美利坚合众国地处北美洲中部，东临大西洋，西滨太平洋，北接加拿大，南靠墨西哥及墨西哥湾
初中语文课本中必学篇目《爱莲说》是哪位北宋学者所做	周敦
运动型多用途越野车的英文简称是由哪三个字母组成的	SUV - sport-utility vehicle 多功能箱式跑车,运动型多用途运载车
银河系有多宽	银河系很大的
中国十大传世名画之一的《洛神赋图》的作者是东晋时期的哪位画家	顾恺之
崔莺莺是元代剧作家王实甫的哪部戏剧作品里的现实人物和文学形象	西厢记
在白居易的《长恨歌》中，“七月七日长生殿”的下句是什么	半夜无人私语时
北京最著名的旅馆叫什么	西直门经济酒店在你所要求的价位只能看看地下室的旅馆了,要不然就去看看团购什么的
电脑中最常用的中文字体是什么	Winkawaks1.59汉化版这个模拟器就有了
中国古代追赶太阳的神话人物是谁	夸父追日
由于毛孔堵塞而生长在鼻子上的黑色细小颗粒俗称为什么	俗称为 黑头
蒙古族人民口中的“毡包”实际上指的是哪种物品	实际上指的是 蒙古包
doc是微软哪一款文件笔记软件的后缀名	word
最低级的计算机语言是什么语言	请熊熊参考下面的代码
Facebook创始人马克.扎克伯格是哪个美国著名高校的辍学生	哈佛 的辍学
陇海铁路是从江苏连云港通往哪个城市的铁路干线	兰州 的铁路干线
机器猫哆啦a梦因为头部没有哪个器官而经常被人嘲笑	耳朵
金庸小说《笑傲江湖》中，令狐冲和任盈盈第一次相遇是在洛阳的哪条巷子里	在洛阳遇见的 其师带领令等人到金刀王元霸家时,在洛阳东城遇见一老婆婆 即是盈盈 在小说的第一十三章<学琴>中段可是出现
在太阳系八大行星中，质量和体积最小的是哪一颗	质量和体积最小的是水
我国水土流失最为严重的高原是哪个高原	黄土高原
《水浒传》中梁山好汉有多少位	108
电影《画皮》的故事出自哪本清代文言短篇小说集	《聊斋志异》哦
故宫位于北京市中心，其明清时期的旧称是什么	故宫位于北京市中心,旧称紫禁城
“名不正言不顺”是春秋战国时期哪一家的思想理论	 儒家
清朝晚期首府新疆和镇压陕甘地区变乱的是哪位洋务运动首领	左宗棠
歌手光良与品冠曾经的组合叫什么名字	无印良品
“三星堆遗址”位于我国的哪个省境内	四川省
胆汁是哪里分泌的	通知:说胆囊分泌胆汁的人请立即回中学补课或到医院体
出自《增广贤文》，反映古代读书人专心学习，“两耳不闻窗外事”的下一句是	一心只读圣贤书
地球总面积大约是多少	4400
“单骑救主”“白衣渡江”都出自我国哪部古典名著	 《三国演义》
618被公认为最具有审美一役的比例数字，请问它被称作什么分割点	黄金分割点
我国哪位相声艺术家是直系军阀冯国璋的曾孙	冯巩,我是猜的,不然没想到还有哪位艺术家姓冯还这么有影响力的了
由杨幂主演的清宫剧《宫》的剧名全称是什么	宫锁心玉
中国四大名砚中，产于广东肇庆的是什么砚	国四大名砚 即端砚、歙砚、洮砚和澄泥砚歙砚 歙砚又称“龙尾砚”、“婺源砚”，砚石产于江西婺源龙尾山，婺源古属歙州，故名
电影《龙门飞甲》中陈坤饰演的西厂督主叫什么	雨化田
影星李嘉欣是中国和哪个国家的混血儿	一、费翔(中美混血) 老少妇孺皆知的偶像,80年代末风靡于两岸的歌
女士常常吃木瓜炖哪种蛙种，可以滋润养颜	雪蛤
“生死一知己，存亡两妇人”形容的是哪位秦末汉初军事家	韩信
我国面积最大、陆地边境线最长、毗邻国家最多的是哪个省级行政区	新疆我国面积最大、陆地边境线最长、毗邻国家最多的
著名的宫廷洋画师朗世宁任职于哪位清朝皇帝在位期间	乾隆 在位期间
中国在2012年伦敦奥运会上，谁获得了最后一枚金牌	邹市明
著名的烧酒品牌“真露”是哪个国家特产酒	韩国
水的密度是多少	1
我国最早的一部医学理论著作是什么	问题：我国最早的一部医学理论著作是： 答案： B A： 《本草纲目》 B： 《黄帝内经》 C： 《千金方》 D： 《伤寒杂病论
泰国男演员马里奥.毛瑞尔在哪部泰国青春爱情喜剧电影中扮演阿亮学长	初恋这件小事
著名哲学家黑格尔是哪个国家的	黑格尔:德国近代客观唯心主义哲学的代表、政治哲学家
《不得不爱》是由弦子和哪位男歌手共同演唱的	潘玮柏
1940年版电影《魂断蓝桥》中，女主角米拉的扮演者是哪位传奇女星	费雯丽
现代足球源于哪个国家	古代足球起源于中国，现代足球起源于英国  足球的发源地到底是哪
西方的哪个节日期间，孩子们会在田间做寻找彩蛋的游戏	复活
在单反镜头上，我们用“A”表示自动对焦，那么我们用哪个字母表示手动对焦	A是自动对焦,M是手动,这个谁都
每年的“诺贝尔和平奖”都会由哪个北欧国家的诺贝尔委员会颁发	挪威
朱元璋是哪个朝代的皇帝	朱元璋朝代的元帅叫什么挺多的,出名的有徐达,常遇春,蓝玉
”杨子荣的回答是什么	你说我是共军,就算我是共军
平假名都是由中国的汉子草书演化过来的，那么平假名属于哪种语言	日语
“士别三日当刮目相待”说的哪位吴国名将	吕蒙
诸葛亮隐居隆中时，常自比管仲和哪位历史人物	乐毅
“洋灰”是对哪种建筑用品的旧称	水泥
相传“露马脚”的典故是我国古代哪位皇帝的皇后	朱元璋10、
出自冯梦龙《警世通言》，“光阴似箭”的下一句是什么	日月如梭
移动公司推出了什么促销活动	“放心回家”业务,指定两个城市作为漫游地优惠城市,寒假期间有效
我国法律规定年满多少周岁就有选举权和被选举权	18
出自王安石的《元日》，“千门万户曈曈日”的下一句是什么	桃符换旧 出处 宋王安石《元日诗》:「爆竹声中一岁除,春风送暖入屠苏;千门万户曈曈日,总把新桃换旧符.」 释义 桃符,[1]旧时门旁所设的
网络用语中，用哪两个相同的字母称呼男孩子	GG
哪个是湖非洲最深的湖泊	是非洲第二大湖(第一大湖是维多利亚湖L.Victoria),湖面海拔高度774m,湖区最深处达1470m,是非洲最深的湖泊,仅次于俄罗斯的贝加尔湖,是世界第二深湖
为什么会发生月食	月食的原理和日食类
代表作有《闲话中国人》、《读城记》的我国著名作家、学者是谁	易中天
珠穆朗玛峰位于我国与哪个国家的交界处	珠穆朗玛峰,位于我国西藏自治区和尼泊尔交界处.珠穆朗玛峰是喜玛拉雅山主峰,世界最高的山峰,海拔8848.13米
2012年因兴奋剂事件被终身禁赛，曾创造了环法车手七连冠奇迹的是哪位美国运动员	阿姆斯特朗
哪个宗教提倡慈爱合同、济世度人	主张把人性善良的一面发扬光大,把恶性的一面去掉.人类社会各种宗教都能相互共存,相互宽容,人与人之间也应该能够相互宽容,和谐发展,共存共荣
我们常说的“五险一金”中，“一金”指的是什么	1、“五险”指的是五种保险,包括养老保险、医疗保险、失业保险、工伤保险和生育保险;“一金”指的是住房公积金
我国长江流域和黄河流域的分水岭是什么	秦岭
著名日本漫画《灌篮高手》的作者是哪位漫画家	著名漫画家井上雄彦
北京的旧书市有哪些	如果就名气而论,北京淘旧书的地方最有名的,主渠道当属老字号的中国书店,二渠道则不能不提潘家园和以前五道口的旧书市场
近期上映的由斯皮尔伯格导演，以一战为背景的动物题材题片叫什么名字	近期上映的由斯皮尔伯格导演,以一战为背景的动物题材题片叫 什么名字? 《战马》
拿破仑兵败的“滑铁卢”位于欧洲哪个国家	滑铁卢位于比利时境内
地球上重量最大的动物是什么	蓝鲸体长可达33米，体重190吨，相当于33头大象或300多头黄牛的体重，它的一条舌头就有4吨重
麻将应对的五种标准状态，是“吃”、“碰”、“听”、“胡”和什么	麻将应对的五种标准状态,是“吃”、“碰”、“杠”、“听”、“胡”
今年，朱茵与哪位香港音乐人产下一女	黄贯中
我国每年用电量多少	2015
干电池的负极是用什么金属制成的	正极:石墨碳棒,外端加镀锌铜帽 负极:锌皮
《阿拉蕾》《七龙珠》是哪位日本著名漫画家的代表作	鸟山明
《火影忍者》中宇智波家族独特的瞳术是	写轮
东晋大诗人陶渊明被称为五柳先生是因为为什么	是的
我们常用“早晨哪两个时间点的太阳”形容青少年朋友	七八点
俗语“一九二九不出手”的下一句是什么	三九四九冰上走
中国哪个传统节日又叫“团圆节”	中秋节别称:月夕、秋节、仲秋节、八月节、八月会、追月节、玩月节、拜月节、女儿节、团圆
核武器有哪几种	核武器分为战略核 武 器,战术核 武 器, 战略核 武器一般都是弹道导弹,或者核轰 炸机携带的核 弹 战术核 武器是巡航导弹携带核 弹 头 分为三代
南美洲国家厄瓜多尔的首都是哪个城市	首都是 基多
树木在日照下主要释放的是哪种气体	?氧气
著名史学家班彪的幼子，东汉时期出使西域的著名军事家外交家是谁	班超
司马迁说，人固有一死，或重于泰山，下一句是什么	或轻于鸿毛
一代歌后邓丽君上世界80年代初曾与哪位香港功夫巨星相恋	成龙 成龙
出自辛弃疾《西江月》，“七八个星天外”的下一句是什么	两三点雨山前
著名演员李嘉欣的丈夫是哪位豪门子弟	许晋亨
经济大萧条是什么时候	经济大萧条时,黑社会和娱乐产业会繁荣发展
英国首相官邸和中央政府机关位于哪条著名的街道	唐宁街
歌词“外面是共产主义接班人，沿着革命先辈的光荣路程”是哪个组织的队歌	少先
哪个节气前后，太阳在天空中的位置最高	C、夏至时,太阳直射北回归线,北半球太阳在天空的位置最高
我们平时常说的“关中地区”位于我国哪个省	 陕西省
歇后语中常用“猴子捞什么”比喻空忙一场	月亮
“世界上最远的距离，不是生与死，而是我站在你的面前，你却不知道我爱你。”出自哪位著名印度大诗人的诗集	在《十八岁的天空》中有“世界上最遥远的距离不是生与死,而是我站在你面前,你却不知道我爱你
与父亲王羲之并称“二王”的书法家是谁	王献之
《封神演义》中，哪吒的父亲托塔李天王名叫什么	李靖
多瑙河在哪里	多瑙河在欧洲仅次于伏尔加河,是欧洲第二长河
与我国的云南省接壤的国家分别是缅甸、老挝和哪个国家	越南 缅甸、老挝
齐达内在哪些年获得过世界足球先生	获得过3次,98年,2000年和2003年!齐达内个人荣誉:1996年95/96赛季法国足球先生1998年世界杯金球奖1999年国际足联1998年世界足球先生2000年国际足联2000年
由台北市立棒球场发建，众艺人在台北开演唱会的首选场馆叫什么	小巨蛋
诸葛亮的“诸”字，添上一个“单人旁”应该念什么	谡 速音 诸葛亮用马谡,马谡言大才疏,失了街亭,不得不在南城这个小城使用空城计,吓退司马懿的几十万雄兵
东北林大的邮编是多少	100040
愚人节是每年的几号	4.1
电影《碟中谍》男主角的扮演者叫什么名字	汤姆克鲁斯
唐代诗人王维的《送元二使安西》中“劝君更尽一杯酒”的下一句是什么	渭城朝雨浥轻尘,客舍青青柳色新
每年举办的台湾规模最大的音乐奖项是	金曲奖
获得第五十九届奥斯卡最佳原著剧本奖，执导《汉娜姐妹》的鬼才导演是谁	伍迪艾伦
科学家道尔顿最初因为选错哪种穿着用品的颜色而发现了色盲这一现象	樱桃红色的袜子 在一个圣诞节前夕,道尔顿给他的妈妈买了一双“棕灰色”的袜了做为圣诞节的礼物
“迪斯尼”的总部设在哪个国家	美国.. . Amecera
普法战争结束后，法国被迫割让的是阿尔蒴斯和哪个地区	洛林
“火烧面部的哪个部位”来形容事态的着急	眉毛
形容学问广博，无所不知，我们通常会说：“上知天文”的下半句是什么	下知地理
算盘横有一梁，将算盘分为上下两部分，梁上一珠代表几	5
“五十六个民族五十六支花，五十六族兄弟姐妹是一家”这是由宋祖英演唱的哪首歌	歌词“五十六个民族五十六朵花“的歌曲名是《爱我中华》
中国唯一以花命名的城市是四川省的哪座城市	攀枝花市是全国唯一一座以花命名的城
地球上男人占多大比重	给你资料看看! 目前全世界的性别比例非常接近于1:1,但具体到各个国家,则差别很大
法国前总统萨科奇的妻子是哪位名模	卡拉·布吕
奔驰汽车原产于哪个国家	德国 梅赛德斯-奔驰
《Yesterdayoncemore》是哪个美国著名兄弟组合的歌	卡朋特
近期上映的由威尔.史密斯和汤米.李.琼斯主演的电影叫什么	黑衣人3
苏联的全称是什么	前苏联的全称苏维埃社会主义共和国联盟(俄语:СоюзСоветскихСоциалистическихРеспублик,简称СССР;
张爱玲的名著《金锁记》中，女主角叫什么名字	曹七巧
我国第五套人民币中一百元纸币的水印图案是哪位领袖人物	 毛泽东
“收获颇丰”中的“颇”字是什么意思	颇,这个字无论在文言文还是现代文中,意思大多都是很的意思
《笑傲江湖》中被华山掌门岳不群逐出师门的大师兄叫什么	令狐冲
WPS是由哪个公司开发的	金山公司
“小玉，花轮，美环”是哪部日本动画片中的角色	樱桃小丸子
山东山西的山指什么	山西的山是指太行山,山西东为太行,西为吕梁
西方的万圣节，人们会用什么植物做成一盏灯	在西方国家,每年的10月31日,有个“Halloween”,辞典解释为“The eve of All Saints'Day”,中文译作:“万圣节之夜”
俗话“读书百遍”下一句是什么	其义自见
出自杜牧诗中“东风不与周郎便”的下一句是	铜雀春深锁二乔
“人间四月芳菲尽，山寺桃花始盛开”是唐朝哪位诗人的诗句	白居易 的诗句
因多次发生战争被称为“欧洲火药桶”的是哪个半岛	巴尔干半岛
发生“财政赤字”时，会计核算会用什么颜色的子来标注处理	红色 标注处理
故宫乾清宫上的牌匾“正大光明”四字最早是由哪位清代皇帝所书	顺治
位于安徽省的凤阳县是哪位明朝皇帝的故乡	朱元璋(1328年-1398年),字国瑞
和中国足协签署价值至少5亿元三年合约的大连万达老板是谁	万达老板是王健林 满意就请采纳
隋朝郡主的姓氏是什么	姓杨,大隋共传位三代天子: 大隋高祖文皇帝杨坚、大隋世祖明皇帝杨广、大隋世宗恭皇帝杨侑
ftp的中文全称是什么	Telnet-------------------- TELNET协议的目的是提供一个相对通用的,双向的,面向八位字节的通信机制
中国历史上第一枚奥运金牌是在哪个项目上获得的	射击 上获得的
叙利亚的现任总统是谁	巴沙尔·阿萨德(BasharAl-Assad)2000年6月10日,老阿萨德在于1971年自封总统,执掌国家29年后猝死,作为次子的巴沙尔·阿萨德与一个月后的7月10日继任总
自然数的变化范围是多大	你没图,是我猜的
西红柿还有什么别的名字	番茄也可以称 love apple 但是几乎没有人会这么称番茄的
世界上最大的海湾是亚洲的哪个湾	1、世界上最大的海湾是 ;世界上最大的半岛是 .2、在世界大洲中,跨纬度最大的是(　　)A.大洋洲 B.欧洲 C.南极洲 D.亚洲3、苏伊士运河沟通的是
牛郎星位于哪个星座	牛郎星和织女星是两颗象太阳那样的恒星，它们也是能够自己发光发热的
自古以来有“塞上明珠”称号的宁夏回族自治区首府是哪座城市	银川
火星有几颗卫星	火星有两颗天然卫星.1877年由美国的A.霍尔发现.火卫一离火星中心9370千米,公转周期为7小时59分,比火星自转快得多,所以从火星上看来,它是西升东落的
俗话说：“皇帝不急急死什么人”	古代皇宫里的规矩还是很多的
出自岑参《白雪歌送武判归京》中，“北风卷地白草折”的下一句是什么	胡天八月即飞雪
飞流直下三千尺，疑是银河落九天，描写的是哪座山的景色	庐山的景色
“我愿变成童话里你爱的那个天使”这句歌词出自哪位男歌手的原唱歌曲《童话》	歌名:童话 歌手:光良 忘了有多久再没听到你 对我说你最爱的故事 我想了很久我开始慌了 是不是我又做错了什么 你哭着对我说童话里都是骗人的 我
战国四公子中，因有三千门客而闻名的是哪位	孟尝君田文
我国自主研制并发射的首个月球探测器叫什么名字	嫦娥一号卫
世界上已知的金属中密度最小最轻的是什么	密度最小的金属是锂,密度是0.54 g/cm3
当我们说一台电脑是“486”或“586”时，这实际上是指的是电脑的哪个部件	中央处理器 1
历史上“焚书坑儒”的只中国的那一位皇帝	秦始皇``````````````````
被看作西藏人的护卫犬和保护神，并有东方神犬称号的是什么	称号的是 藏獒
孙燕姿曾就读的南洋理工大学位于哪个国家	新加坡
哪位台湾男歌手和桂纶镁合作，自导自演了电影《不能说的秘密》	周杰伦
汉武帝第二任皇后，卫青的同母异父姐姐是谁	卫子夫
世界上最大的黄金生产和出口国，是位于非洲的哪个国家	铜产量是赞比亚, 铝土矿是几内亚,居世界首位
经典电视剧《新白娘子传奇》中，饰演小青的是哪位著名女演员	陈美琪
安南是哪个国家的人	是南非的 还有中国的陈健是联合国副秘书长 安南是生于加纳 但他的国籍是南非
我们常用哪种动物的腿来形容女生的腿又粗又壮	大象
有“小甜甜”外号的美国流行天后叫什么名字	流行天后 布莱
歇后语“小葱拌豆腐”的下句是什么	小葱拌豆腐,一清二白
主演了电影《当幸福来敲门》《我是传奇》的好莱坞影星是谁	威尔·史密斯(Will Smith,1968年9月25日-)美国演员、歌手,出生于美国宾夕法尼亚州费城
著名的“自由女神”像坐落在美国的哪座城市	纽约
满汉全席始于清朝哪位皇帝在位时期	乾隆
由西晋陈寿编写的记载魏、蜀、吴鼎力时期的“纪传体国别史”叫什么	《三国志》
人可以躺在上面而不沉下去的全世界海拔最低的琥珀是哪里	死海
“池塘边的榕树上，知了在声声叫着夏天”是罗大佑的哪首经典歌曲	《童年》
著名的“埃菲尔铁塔”是哪个城市的标志性景点	巴黎
哪个星球有生物	现在太阳系中可能存在生命的是：火星和土卫六－－泰坦
李白的诗句“欲渡黄河冰塞川”的下一句	将登太行雪满山
《文化苦旅》是哪个作家的第一本散文集	余秋雨
香港演员谢霆锋的大儿子叫什么	Lucas
MPEG是什么的缩写	MPEG(动态图像专家组)是MovingPictureExpertsGroup的简称
“什么干，什么干，我打开任督二脉”是周杰伦演唱的哪首经典歌曲	周杰伦演唱的 双截棍
阿尔及利亚用什么货币	非洲阿尔及利亚用的货币是——第纳尔阿尔及利亚第纳尔为阿尔及利亚官方货币
收看奥运会时，字幕显示“volleyball”的是哪项体育比赛	排球 体育比赛
种子植物依据种子外面有无果皮包被可分为被子植物和什么植物	种子植物对陆地的适应能力很强,依据种子外面有无果皮包被可分为被子植物(有果皮)和裸子植物(无果皮 谢谢采纳
宋之问的《渡汉江》中，“近乡情更怯”的下句是什么	不敢问来人
我国四大油料作物是花生、大都、芝麻和什么	油菜和大豆、花生、芝麻并称为我国四大油料作物
《神雕侠侣》中，杨过在全镇教学武拜的师傅是谁	赵志敬
大陆与台湾在1993年进行了第一次“汪辜会谈”，其中“汪”指的是	汪道涵
俗语“以其人之道”的后半句是什么	还治其人之身
世界上最大的淡水湖是哪个湖泊	世界上最大的淡水湖应该是“贝加尔湖”
1945年哪位当时的副总统接替因病去世的罗斯福担任美国总统	杜鲁门 担任美国总
被称为“液体面包”的是哪种酒	啤酒
在我们常说的Q版人物中，“Q”指的是什么意思	单片机是指一个集成在一块芯片上的完整计算机系
《神雕侠侣》里砍断杨过手臂的郭芙蓉最后嫁给了谁	耶律齐
美国哪个城市被称为太平洋女王	旧金山或称“圣弗朗西斯科”、“三藩市”
俗话说“林子大了”的下一句是	就是说,现在的社会各种各样的人都要,只是你想不到
电脑中央处理器的英文缩写是哪三个字母	CPU
艾弗森上的是哪所大学	毕业于美国的乔治城大学,主修美术专业. 呵呵
战国时期，秦国在统一中国的过程中最先消灭的是哪个诸侯国	韩国
小说《封神演义》中，传说由狐狸精变成的商纣王宠妃是谁	苏妲己
印度的母语是什么	印度民族众多,语言复杂,印度共有1652种语言和方
古代文学理论著作《文心雕龙》是哪位南朝文学理论家的著作	刘勰
奥运会闭幕于哪天	开幕式 时间：2008年08月08日 星期五
康熙时期，中国与哪个国家签订了《尼布楚条约》	康熙时期,中国与俄国签订了《尼布楚条约》
形容自己给自己招惹大麻烦，常说是“捅了哪种昆虫的窝”	马
2006年德国世界杯的专用球叫什么	2006年德国世界杯的比赛用球叫“团队之星”
柳永、李清照都是宋词中哪个流派的词人	婉约派 的词人
“咆哮帝”是网友对哪位台湾男演员的戏称	马景涛
著名女子运动员叶乔波曾经是我国哪个运动项目的运动员	速滑/短道速滑
亚洲第一高楼是台北的什么楼	正在申请使用执照的台北一0一大楼，2004年十月八日正式被世界高楼协会(CTBUH)颁予“世界第一高楼”证书，获得“世界最高建筑物”、“世界
哪位男歌手跟韦唯合唱了《亚洲雄风》作为北京亚运会歌曲	刘欢
八旗制度在初建时设的四旗是	　　明朝万历二十九年(1601)建立 黄、白、红、蓝 四旗,称为正黄、正白、正红、正蓝,旗皆纯色
我国著名的“沙县小吃”是我国哪个省的美食系列	我国菜系有三种划分方法:按省按划分四大菜系有2种说法...其中最有名的是沙县小吃
世界上面积最小的大陆是哪个大陆	面积最小的是澳大利亚大陆,最大的是欧亚大陆,望采纳,谢谢
土耳其的首都在哪个城市	安卡拉呀,经济中心在伊斯坦布尔
据说牛顿是看到哪种水果下落受到启发从而发现了万有引力定律	苹果
《莫靡靡之音》是天后王菲为了纪念她的哪位偶像而出版的翻唱专辑	邓丽君
周迅的前任男朋友，是哪位台湾著名造型师	李大齐
“砍头不要紧，只要主义真”是哪位革命先驱临刑前写的就义诗	这是革命烈士夏明翰临刑前所写的《就义诗》
1885年哪位德国汽车制造商制造出第一辆摩托车	1885年德国汽车制造商戈特利伯·戴姆勒制造出第一辆摩托车
红海是哪块大陆的	红海之前是没有的.后面地震形成的.非洲板块和印度洋板块张裂形成
在神话故事《西游记》中，托塔天王的全名是什么	李靖
在古罗马神话中，掌管爱与美的女神是	维纳斯
查看中国的地图图例符号时，图形为“红色五角星”的代表什么意思	首都
人体心脏所有的心房和心室加起来总共有几个腔室	4 个
尼日尔河位于哪里	尼日尔河 Niger，River 非洲第三长河
英国历史上唯一一位被公开处死的国王是谁	查理一世////
我们常说一个东西值5刀，请问“刀”是哪种货币的别称	美元
长途电话多少钱一分钟	0
秦始皇统一中国是在什么时候	公元前221年,秦始皇统一中国
《三国演义》中刘备手下的五虎将之一，以老当益壮、百步穿杨着称的是谁	以老当益壮、百步穿杨著称的是 黄忠
飞机专用电子设备之一的“黑匣子”是什么颜色的	(1)黑匣子被火烧30分钟,温度升至1100℃,其内部磁带也不会被烧毁,是因为它具有抗压、抗高温等特殊结构.(2)需承受的海
出自李白的《将进酒》，“天生我材必有用”的下一句是什么	千金散尽还复来
在波音公司生产的民用客机都会用哪个数字开头	7
名著《水浒传》中，绰号“玉麒麟”的人叫什么名字	卢俊义
相传战国时齐国丑女，四十岁不得出嫁，后被齐宣王立为王后的是谁	无盐,姓钟离,名春,钟离春
俗话说“看事容易”的下一句是	做事难,肯定是的喽
“口蜜腹剑”指的是唐玄宗时期哪个宰相的恶名	李林甫 的恶名
面包沙司由什么水果制成	沙司是英语Sauce的译音,已为大家熟悉和常用,是一种用蔬菜或水果加调味品制成的流质或半流质酱汁
“仲夏”通常被我们用来形容农历几月份	五月
Ph.D是对哪种学位的英语简称	--------------------------------------------- 金山电子词典的解释是这样的： Philosophy Doctor 的缩写
火警的号码是多少	911
封建社会皇帝下的命令或发表的言论的文书叫什么	圣旨.....圣旨
高速公路上行驶的机动画遇到能见度小于50米的大雾，最高时速不能超过多少公里	20
唐代诗人崔颢《黄鹤楼》中，“晴川历历汉阳树”的下一句	芳草萋萋鹦鹉洲
西安的区号是什么	不知道你要西安什么位置的邮编,下面是西安邮政编码详表,你可以在这里面查找你所需位置的邮编
哪种金属的氯化物不溶于水	这句话不完全对PbF2微溶,PbCl2也是微溶的(暂时就找到一个特例)PbF2 Ksp=4.0×10-8PbCl2 Ksp=1.6×10-5(都是微溶)氟化物特殊性:典型的离子型氟化
世界上最大的岛屿是哪个岛	格陵兰岛是世界上最大的岛屿，面积达2
韩国的总统官邸是位于首尔的哪座建筑物	青瓦台
中国最长的河流是什么河	长江(Changjiang River),亚洲第一大河,其流域面积、长度、水量都占亚洲第一位
中国象棋中，哪个棋子只能隔着一个棋子吃子	一.棋盘和棋子 1.棋盘 象棋盘由九道直线和十道横线交叉组成
世界上物种最丰富的湖是哪个	最大的淡水湖是贝加尔湖,咸水湖是里海
著名影星成龙为保护野生动物的公益广告词中“没有买卖”的下一句是	就没有杀戮
杜牧的《赤壁》中“东风不与周郎便”，周郎指的就是哪位三国名将	赤壁之战 周瑜、曹操
出自《孟子》，“尽信书”的下一句是什么	孟子说出“尽信书则不如无书”这句话的时候,是因为对《尚书》中关于武王伐纣的情形产生了怀疑
行车过程中紧急刹车时，人体向前倾是由于什么物理现象	惯性,由于惯性人保持向前的运动状态,车静止,人体向前倾
成语“乐不思蜀”最初是指三国时期的谁不思复国	指蜀后主刘禅
《水浒传》中冒充黑旋风李逵拦路抢劫，后被李逵遇见并杀死的人是谁	常冒充李逵拦路打劫,有一次正好撞上真李逵,被李逵一刀打翻在地
二十四节气是什么	夏至和立夏不是一个意思 二十四节气起源于黄河流
苏轼《水调歌头》，“起舞弄清影”的下一句	何似在人间
全球最大的连锁超市叫什么	沃尔玛
有“东方太阳城”美誉的是山东省的哪一座新兴港口城市	日照
贵州省的省会是哪座城市	贵阳
年作为央视春节联欢晚会结尾曲的歌曲叫什么名字	难忘今宵 难忘今宵
